frequency,normalized_amplitude
17558593,0.550
17565104,0.546
17571614,0.569
17578124,0.577
17584635,0.582
17591145,0.592
17597656,0.580
17604166,0.564
17610677,0.563
17617187,0.577
17623697,0.591
17630208,0.592
17636718,0.600
17643229,0.590
17649739,0.588
17656249,0.590
17662760,0.590
17669270,0.609
17675781,0.596
17682291,0.588
17688802,0.585
17695312,0.586
17701822,0.589
17708333,0.603
17714843,0.618
17721354,0.618
17727864,0.597
17734374,0.594
17740885,0.601
17747395,0.615
17753906,0.612
17760416,0.621
17766927,0.626
17773437,0.601
17779947,0.603
17786458,0.608
17792968,0.601
17799479,0.630
17805989,0.632
17812499,0.626
17819010,0.606
17825520,0.602
17832031,0.633
17838541,0.633
17845052,0.648
17851562,0.635
17858072,0.626
17864583,0.610
17871093,0.625
17877604,0.656
17884114,0.651
17890624,0.628
17897135,0.647
17903645,0.633
17910156,0.649
17916666,0.651
17923177,0.649
17929687,0.667
17936197,0.649
17942708,0.624
17949218,0.640
17955729,0.649
17962239,0.685
17968749,0.668
17975260,0.641
17981770,0.643
17988281,0.646
17994791,0.667
18001302,0.684
18007812,0.680
18014322,0.666
18020833,0.656
18027343,0.657
18033854,0.669
18040364,0.678
18046874,0.690
18053385,0.670
18059895,0.663
18066406,0.677
18072916,0.681
18079427,0.701
18085937,0.683
18092447,0.664
18098958,0.682
18105468,0.679
18111979,0.696
18118489,0.697
18124999,0.694
18131510,0.694
18138020,0.683
18144531,0.677
18151041,0.704
18157552,0.708
18164062,0.698
18170572,0.686
18177083,0.684
18183593,0.690
18190104,0.709
18196614,0.717
18203124,0.713
18209635,0.696
18216145,0.700
18222656,0.692
18229166,0.716
18235677,0.724
18242187,0.697
18248697,0.707
18255208,0.728
18261718,0.720
18268229,0.737
18274739,0.722
18281249,0.697
18287760,0.717
18294270,0.730
18300781,0.733
18307291,0.737
18313802,0.717
18320312,0.705
18326822,0.708
18333333,0.740
18339843,0.746
18346354,0.731
18352864,0.715
18359374,0.723
